topic_title,topic_url,post_author,post_body,thread_author
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,bookwarrior,"<div class=""postbody""><span style=""color: green""><span style=""font-size: 200%; line-height: normal""><span style=""font-weight: bold"">Requests of <span style=""text-decoration: underline"">specific</span> scientific articles</span></span></span><br><br><span style=""color: red""><span style=""font-weight: bold""><span style=""font-size: 150%; line-height: normal"">Rules</span></span></span><br>1) you <span style=""font-weight: bold""><span style=""text-decoration: underline"">must</span></span> first try the ""Scientific Articles"" request field in LG: <!-- m --><a class=""postlink"" href=""http://gen.lib.rus.ec/"">http://gen.lib.rus.ec/</a><!-- m --> or <!-- m --><a class=""postlink"" href=""http://libgen.org/"">http://libgen.org/</a><!-- m --><br>2) if not found, provide a direct link to the abstract <span style=""font-weight: bold""><span style=""text-decoration: underline"">with</span></span> a download link available or the link itself.<br><br>Try to change proxy, if access is not granted from the default proxy:<br><img src=""http://img171.imageshack.us/img171/922/testguy.png"" alt=""Image""><br><br>usually, there are about 5 proxies available, it is written in a small panel at the bottom, as well as the order number of the current proxy used.<br><br><a href=""http://forum.ru-board.com/topic.cgi?forum=93&amp;topic=3538&amp;start=2720"" class=""postlink""><span style=""font-weight: bold"">Original ru-board.com article request thread  <img src=""./images/smilies/icon_arrow.gif"" alt="":arrow:"" title=""Arrow""></span></a></div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,verner,"<div class=""postbody"">Помогите найти книгу please :<br><br>  фрагмент книжки главы 2,3,10<br>Nonlinear Acoustics: : Theory and Applications Авторы: Mark F. Hamilton, David T. Blackstock <br>     ISBN: 978-0-12-321860-5 <br><!-- m --><a class=""postlink"" href=""http://books.google.com/books?id=k-kWozCE0jIC&amp;pg=PA1&amp;dq=Nonlinear+Acoustics:+Theory+and+Applications&amp;hl=ru#v=onepage&amp;q=Nonlinear%20Acoustics%3A%20Theory%20and%20Applications&amp;f=false"">http://books.google.com/books?id=k-kWoz ... ns&amp;f=false</a><!-- m --></div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,bookwarrior,"<div class=""postbody""><span style=""font-weight: bold"">verner</span>, это книги - в этом топике периодика.<br>С книжным можете <a href=""http://forum.ru-board.com/topic.cgi?forum=93&amp;bm=1&amp;topic=1410&amp;start=1540#lt"" class=""postlink""><span style=""font-weight: bold"">вот сюда</span></a> обратиться, там именно такими запросами занимаются.</div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,verner,"<div class=""postbody"">Помогите со старым журналом:<br>Л.М.Бреховских  Звуковые волны под водой обусловленные поверхностными волнами в океане.   Известия АН СССР,1966,т. 2,   №9 , с.970-980.<br><br>либо перевод<br><br>L. M.  Brekhovskikh.  Underwater  sound waves  generated  by  surface waves  in <br>the ocean.  Izv.  Atmos.  Ocean. Phys., 2(9)  :582-587,  1966. <br><br>Спасибо.</div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,Bill_G,"<div class=""postbody""><div class=""quotetitle""><b>Quote:</b></div><div class=""quotecontent"">Помогите найти книгу please :<br><br>1.фрагмент книжки SPRINGER . нужны с.1-182<br>Wave Interactions As a Seismo-acoustic Source <br>DOI 10.1007/BFb0011210 <br><br></div><br><br>есть у нас такая, только там 152-156 стр<br><!-- m --><a class=""postlink"" href=""http://gen.lib.rus.ec/search?req=Wave+Interactions&amp;lines=25&amp;from=0"">http://gen.lib.rus.ec/search?req=Wave+I ... =25&amp;from=0</a><!-- m --><br><div class=""quotetitle""><b>Quote:</b></div><div class=""quotecontent"">https://commerce.metapress.com/content/ ... 9bffb&amp;pi=0<br><br></div><br><br><div class=""quotetitle""><b>Quote:</b></div><div class=""quotecontent"">L. M. Brekhovskikh. Underwater sound waves generated by surface waves in <br>the ocean. Izv. Atmos. Ocean. Phys., 2(9) :582-587, 1966.</div><br>похожая есть:<br>Ocean acoustics: theory and experiment in underwater sound (MGH, 1966, 307 pp.)	Tolstoy I., Clay C.S.<br><!-- m --><a class=""postlink"" href=""http://gen.lib.rus.ec/get?md5=93e1d4309e52e063424bcc7343206e0d"">http://gen.lib.rus.ec/get?md5=93e1d4309 ... 7343206e0d</a><!-- m --></div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,verner,"<div class=""postbody"">статья нужна именно такая<br><br>Л.М.Бреховских Звуковые волны под водой обусловленные поверхностными волнами в океане. Известия АН СССР,1966,т. 2, №9 , с.970-980.</div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,bookwarrior,"<div class=""postbody""><span style=""font-weight: bold"">verner</span>, прямые линки нужны, мы по библиографии не найдём - посмотрите шапку.</div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,verner,"<div class=""postbody"">Проблема как раз и состоит в том, что ссылок нет : старые отечеств. журналы похоже не оцифрованы.</div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,SpaceLib,"<div class=""postbody""><div class=""quotetitle"">verner wrote:</div><div class=""quotecontent"">Проблема как раз и состоит в том, что ссылок нет : старые отечеств. журналы похоже не оцифрованы.</div><br><br><span style=""text-decoration: underline"">Ни чего не понимаю по этой теме</span>, но статья  издана в 1966г., а после этого у данного автора вышло несколько монографий. Скорее всего в  них тема статьи раскрыта.<br><br>Бреховских Л.М., Годин О.А. Акустика слоистых сред. — <br>М.: Наука. Гл. ред. физ-мат. лит., 1989. - 416 с. ISBN 5-02-014155-0 <br>Посвящена теории распространения упругих волн в образованиях слоисто- <br>го характера как в искусственных структурах, употребляемых в ультразву- <br>ковой технике, так и в природных средах - <span style=""font-weight: bold"">океане</span>, атмосфере, земной коре. <br>Дан вывод различных форм волнового уравнения и их точных решений. Описа- <br>ние упругих волн в твердом теле ведется на основе матричного формализма. <br>Рассмотрено влияние движения среды на звуковое поле. Излагается методика <br>построения асимптотических разложений волновых полей на основе эталонных <br>уравнений и эталонных интегралов. Значительное внимание уделяется физи- <br>ческой интерпретации результатов. <br>Для научных работников - физиков и геофизиков, а также для инженеров, <br>аспирантов и студентов старших курсов вузов. <br>Ил. 79. Библиогр. 555 назв.<br><br><br><div style=""padding: 3px; background-color: #FFFFFF;""><div style=""border-bottom: 1px solid #CCCCCC;""><span onclick=""if (this.parentNode.parentNode.getElementsByTagName('div')[1].getElementsByTagName('div')[0].style.display!=''){this.parentNode.parentNode.getElementsByTagName('div')[1].getElementsByTagName('div')[0].style.display='';this.innerHTML='&lt;a href=\'#\' onClick=\'return false;\'&gt;hide&lt;/a&gt;';}else{this.parentNode.parentNode.getElementsByTagName('div')[1].getElementsByTagName('div')[0].style.display='none';this.innerHTML='&lt;a href=\'#\' onClick=\'return false;\'&gt;show&lt;/a&gt;';}""></span><a href=""#"" onclick=""return false;"">show</a></div><div class=""quotecontent""><div style=""display: none;"">Database: allhabs_myisam IndSphinx: allhabs_myisam Query 'Бреховских' retrieved 196 of 196 matches in 0.015 sec. Query stats: 'бреховск' found 196 times in 197 documents Matches: <br><br>magnet tth [ (пик)] 4345379 \DC\Скачал\Физика\Л.М. Бреховских, О.А. Городин. Акустика слоистых сред. 1989.djvu .<br><br>magnet tth [ blackschool] 5488363 \Учебники и книги\Каталог\_Не_сортированное_\telb.ru\Бреховских Л.М. Волны в слоистых средах. 1973.djvu .<br><br>magnet tth [ blackschool] 5698926 \Учебники и книги\Каталог\_Не_сортированное_\telb.ru\Бреховских Л.М., Годин О.А. Акустика слоистых сред. 1989.djvu .<br><br>magnet tth [ mrn] 4780261 \natahaus\2007\2007.08\15 08 2007\Бреховских Л.М. - Волны в слоистых средах 1973.djvu .<br><br>magnet tth [ mrn] 5467838 \natahaus\2007\2007.08\14 08 2007\Бреховских Л.М., Годин О.А. - Акустика слоистых сред 1989.djvu .<br><br>magnet tth [ mrn] 1619823 \J:_\books\научная литература\Vodolaz_(1)_[torrents.ru]\Организм человека и подводная среда. 1977. Л.Бреховских.djvu .<br><br>magnet tth [ mrn] 4345379 \J:_\books\научная литература\технические\физика\Л.М. Бреховских, О.А. Городин. Акустика слоистых сред. 1989_ihtik.djvu .<br><br>magnet tth [ mr_t] 4907969 \natahaus\2007\2007.08\15 08 2007\Бреховских Л.М. - Волны в слоистых средах 1973.rar .<br><br>magnet tth [ mr_t] 6182523 \boooooooooooks\homelab\spec\spec5\Бреховских Л.М. - Волны в слоистых средах [2е изд., Наука, 1973].pdf .<br><br>magnet tth [ mr_t] 5603195 \natahaus\2007\2007.08\14 08 2007\Бреховских Л.М., Годин О.А. - Акустика слоистых сред 1989.rar .<br><br>magnet tth [ mr_t] 4345379 \J:_\books\научная литература\технические\физика\Л.М. Бреховских, О.А. Городин. Акустика слоистых сред. 1989_ihtik.djvu .<br><br>magnet tth [ mr_t] 5467838 \boooooooooooks\homelab\spec\spec5\Бреховских Л.М., Годин О.А. - Акустика слостых сред [Наука, 1989].djvu .<br><br>magnet tth [ mr_t] 1619823 \J:_\books\научная литература\Vodolaz_(1)_[torrents.ru]\Организм человека и подводная среда. 1977. Л.Бреховских.djvu .<br><br>magnet tth [ SpaceLib] 4780261 \хаб-книги\Книги\КТЛ\Бреховских Л.М. - Волны в слоистых средах 2е изд., Наука, 1973\Brexovskix L.M. Volny v sloistyx sredax (2e izd., Nauka, 1973)(ru)(K)(300dpi)(T)(343s).djvu .<br><br>magnet tth [ SpaceLib] 5467838 \хаб-книги\Книги\КТЛ\Бреховских Л.М., Годин О.А. Акустика слоистых сред\20050801_108CF15D.djvu .<br><br>magnet tth [ [Frz]ФОФАН] 4345379 \DC\Скачал\Физика\Л.М. Бреховских, О.А. Городин. Акустика слоистых сред. 1989.djvu .<br><br>magnet tth [ [OZK]CybeRin] 4345379 \Corbina\\E-D-U-C-A-T-E\Физика\Л.М. Бреховских, О.А. Городин. Акустика слоистых сред. 1989.djvu .</div></div></div></div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,bookwarrior,"<div class=""postbody"">в добавок к <span style=""font-weight: bold"">SpaceLib</span><br><div class=""quotetitle"">verner wrote:</div><div class=""quotecontent"">Проблема как раз и состоит в том, что ссылок нет : старые отечеств. журналы похоже не оцифрованы.</div>тогда есть ещё ветки на руборде:<br><a href=""http://forum.ru-board.com/topic.cgi?forum=93&amp;bm=1&amp;topic=1858#1"" class=""postlink""><span style=""font-weight: bold"">Поиск книг и библиографической информации</span></a><br><div class=""quotetitle""><b>Quote:</b></div><div class=""quotecontent"">эта тема нужна для поиска таких книг, которые нужны позарез, а во всех доступных областях - в поисковиках, варезниках, р2р - вы уже искали и не раз.</div></div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,Алексей,"<div class=""postbody"">Damour, T., Soffel, M., Xu, C. 1991, Physical Review D, 43, 3273<br>Damour, T., Soffel, M., Xu, C. 1992, Physical Review D, 45, 1017<br>Damour, T., Soffel, M., Xu, C. 1993, Physical Review D, 47, 3124<br>Damour, T., Soffel, M., Xu, C. 1994, Physical Review D, 49, 618<br><br>Может быть, у кого-либо имеются эти статьи (или хотя бы первые две из списка)?</div>",bookwarrior
Scientific paper request / Запрос статей из научных журналов,http://genofond.org/viewtopic.php?f=9&t=123,artifikulo,"<div class=""postbody"">Алексей, Вам статьи всё ещё нужны?</div>",bookwarrior
