topic_title,topic_url,post_author,post_body,thread_author
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,bookwarrior,"<div class=""postbody""><center><span style=""font-size: 200%; line-height: normal""><span style=""font-weight: bold""><span style=""color: #FF0000"">В помощь старателю</span></span></span></center><br>1. Для склейки PDF-ов с сохранением навигации внутри (линки-ссылки на рисунки, другие главы и т.д.), есть тулза с руборда от <span style=""font-weight: bold"">ging</span>, которой он поделился лет сто назад. Выкладываю адаптированный вариант <span style=""font-weight: bold""><a href=""http://rghost.ru/44556839"" class=""postlink"">PDF Tools v1.7z</a></span> (7 MB) для использования без головной боли. Описание прилагается.<br>Тулза работает на Java, поэтому качайте <a href=""http://java.com/ru/download/manual.jsp"" class=""postlink""><span style=""font-weight: bold"">Java Run-time Environment (JRE)</span></a> (выбираем ""автономную установку"", ~16 МБ).<br><br>2. Есть плагин <a href=""http://rghost.ru/44556824"" class=""postlink""><span style=""font-weight: bold"">ARTS PDF Bookmarker.rar</span></a> (1.3 MB) для акробата для автогенерации оглавлений по заданным шрифтам. Убойная штука, скажу я вам: дерёт названия разделов прямо из текста! Для истинных букоделов.<br><br><span style=""color: #BF0000"">If the files are deleted from the fileshares, let us know, we shall update the links.</span><br><br>Также см. топик <!-- l --><a class=""postlink-local"" href=""http://genofond.org/viewtopic.php?p=32988#p32988"">viewtopic.php?p=32988#p32988</a><!-- l --></div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,Difur,"<div class=""postbody""><div class=""quotetitle"">bookwarrior wrote:</div><div class=""quotecontent""><center><span style=""font-size: 200%; line-height: normal""><span style=""font-weight: bold""><span style=""color: #FF0000"">В помощь старателю</span></span></span></center><br>2. Есть <a href=""http://gen.lib.rus.ec/files/software/ARTS%20PDF%20Bookmarker.rar"" class=""postlink""><span style=""font-weight: bold"">плагин</span></a> для акробата для автогенерации оглавлений по заданным шрифтам. Убойная штука, скажу я вам: дерёт названия разделов прямо из текста! Для истинных букоделов.</div>Плагин полезен, видимо, только для векторных pdf с заголовками, набранными шрифтами Windows. Большинство pdf либо сканы, либо векторные, набранные в TeXе. Векторные pdf, как правило, уже имеют закладки.<br><br>Для создания и редактирования закладок можно применять связку (Acrobat pro) + (Abbyy Screenshot Reader).</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,bookwarrior,"<div class=""postbody"">Я со спрингера тянул себе книги, а спрингер последние года 2 стал выкладывать те же книги, что и раньше, разрубленные на главы: по файлу на главу. С Веба они смотрятся изумительно, а скачав на компьютер - груда хлама. Вот для склеивания таких томов обратно с сохранением внутренней навигации (на сайте-то они работают) и помогает эта тулза.<br><br>Мультивалент, который там приложен и используется тулзой на последнем этапе (компрессия), позволяет пересобирать PDF, при этом несколько поджимая картинки. Я лично к каждой книге подходил частно: если там иллюстрации очень важно сохранить чистыми, тогда не применял компрессию вовсе, если же картинки и без того убогие, да ещё и не слишком важны - тогда можно дополнительно ужать.<br><br>Конечно, когда PDF - это просто сканы, этот инструментарий будет бесполезным. Однако если вы видите такой PDF - переводите его в DjVu без колебаний: PDF вообще для хранения сканов дурён, в отличие от DjVu, который под это заточен.</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,are,"<div class=""postbody"">здравствуйте господа,<br><br>известен ли вам так называемый ""конвейер""  - пакет all2djvu<br><br>например, он позволяет автоматом - без меню и мышки (всё работает только в командной строке) - переконвертировать в джвю всякие файлы, если известно, как надо это делать, например для сканированных пдф файлов надо знать правильные опции (разрешение, цвет и др.)<br><br>я когда-то объявлял это на руборде, но кажется никакого интереса не последовало.<br><br>а для массового перевода в джвю это полезная вещь , особенно если все файлы пдф однотипные (типа все от шпрингера).</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,bookwarrior,"<div class=""postbody"">ммм... а PDF сканированные или векторные обрабатывать? Есть ли смысл векторную инфу терять, если она уже есть? Или это меря защиты от ""водяных знаков"" в PDF?<br><br>Именно о конвейере я не слышал (это из DjVu Libre наверное?), потому что пользовался DocumentExpress и DjVu Editor (DjVu Solo раньше). DocumentExpress делает то же, если я правильно понял: можно сделать серию заданий на разные типы файлов и запустить, на выходе будут DjVu, причём OCR - это всего-лишь клик по галочке.</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,are,"<div class=""postbody"">в состав пакета djvulibre входит djvudigital - программа для перевода векторных пдф в лосслесс джвю (""без потерь"") с помощью ghostscript, и any2djvu - это то же самое, но через онлайн-сервис. Всё это не годится для настоящей работы.<br><br>all2djvu - это совсем другая вещь. <br>это большой скрипт на языке unix shell, который запускает другие программы , в том числе ghostscript, acroread, xpdf для обработки пдф файлов, netpbm/libtiff для обработки битмэпов и DocumеntExprеss еntеrрrisе для cобственно создания djvu.<br>djvulibre тоже может использоваться по желанию. В состав пакета all2djvu входит много разных варезов, в том числе взломанных. Может работать под linux или windows (используется среда cygwin для имитации юникса).<br><br>может обрабатывать как векторные, так и сканированные пдф, а также PS (но быстрее сначала прогнать ps2pdf) и rar/zip файлы с отдельными сканами в виде тифф, а также многостраничные тифф файлы. Конечно, djvu файлы он тоже может перерабатывать в djvu. <br><br>смысл переработки векторных пдф в джвю? Почти всегда это не нужно делать - векторный пдф предпочтительнее, чем даже высококачественный djvu. Но иногда пдф файл не содержит поиска по какой-то причине, или глючит, или имеет непомерные размеры по какой-то причине. Причину слишком большого размера пдф найти всегда можно, а вот исправить - почти всегда трудно или невозможно, проще перевести в джвю (скажем, в 600дпи для высокого качества) и сделать распознавание текста заново. Фотографии при переводе в джвю можно сохранять хорошего качества (при этом, правда, размер джвю файла растёт). Но этого all2djvu не умеет делать - это делает лизардовский пакет pdftodjvu, а также бесплатная программа pdf2djvu. Названия всех этих программ похожи, так что можно спутать с непривычки.<br><br>что касается водяных знаков в пдф, или других ненужных надписей на каждой странице, то их почти всегда легко убрать прямо в векторном пдф, не нарушая его векторности. <br><br>а распознавание текста для джвю производить лучше всего файнридером, т.к. DocumеntExprеss еntеrрrisе делает это не очень хорошо, особенно на русском тексте.<br><br>главное достоинство all2djvu - большой выбор методов преобразования пдф в джвю. Например, растеризация в данном разрешении с цветом или без, или извлечение битмэпов без растеризации, повороты или обрезка битмэпов, чистка, преобразование цвета в ч-б и другие возможности, очень часто необходимые при обработке встречающихся в природе пдф файлов. Кромсатор, конечно, мощнее, но требует участия человека, а all2djvu чисто пакетная программа. DocumеntExprеss еntеrрrisе не имеет гибких возможностей вылечить проблемы в пдф файлах.<br><br>разбираться с этим пакетом и вообще с переработкой пдф в джвю может оказаться долгим делом, особенно если обработка пдф файлов в джвю не есть ваше главное занятие. Очень легко взять большой пдф файл и переработать его в джвю файл <span style=""font-weight: bold"">плохого качества</span>. <br><br>&gt; all2djvu file1.pdf -o file1_try.djvu<br><br>почти всегда это не то, что нужно делать. Всегда нужно проверять результат, и надо угадать, в чём проблема и как её решить. Например, вышеприведенная команда (все опции по умолчанию) делает растеризацию каждой страницы в черно-белом виде в 300дпи. Для шпрингера или ворлд сайентифик это правильно (хотя бывают и цветные обложки или цветные страницы, тогда надо добавить опцию -autocolor, которая вообще-то сильно замедляет работу, быстрее будет эти страницы обработать отдельно). А может оказаться, что необходимо было делать так,<br><br>&gt; all2djvu file1.pdf -safepdfi -bwupsample 0.71  -cpc -deskew -dpi 150 -autocolor -o file2.djvu<br><br>и тогда получается превосходный результат для данного пдф файла. Эти опции означают, что надо сначала попытаться извлечь битмэпы без растеризации из пдф файла (как они есть),  а если не удаётся - растеризовать в разрешении 150дпи с автоопределением цвета. Затем увеличить разрешение вдвое и одновременно перевести в чёрно-белый с порогом 0.71. После чего надо выпрямить изображения (deskew), прогнать через СРС для гладкости, и уже из этого делать djvu в повышенном вдвое разрешении. Результат - 300дпи джвю.<br><br>как бы то ни было, я занимаюсь переработкой пдф в джвю уже довольно давно и для меня уже стало трудно быстро объяснить, как и что надо тут делать. Наверно для вас это здесь не очень актуально.</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,bookwarrior,"<div class=""postbody"">наверное тебе знаком Multivalent - им можно пересобирать и сжимать PDF. Делает шикарно. В тулзе из шапки он используется.<br><br>Да, сканирование пока здесь не развилось. Но если нужно, заводите топики, используйте обменник.</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,are,"<div class=""postbody"">да, мультивалентом пользуюсь постоянно для сжатия пдф файлов.<br>плохо то, что он иногда портит файлы, причём непонятно когда и почему. Появляется сообщение о каких-то subset fonts, после чего почти наверняка файл запорчен (потеря шрифтов, пропадает текст).<br>иногда просто не работает мультивалент, даёт какие-то ошибки и вылетает.<br>процентов 20 файлов не может обработать.<br><br>может последняя версия лучше, не знаю.</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,Irbis,"<div class=""postbody""><span style=""font-weight: bold"">Webbots, Spiders, and Screen Scrapers<br>A Guide to Developing Internet Agents with PHP/CURL<br>by Michael Schrenk<br><br>April 2007, 328 pp.<br>ISBN-10 1-59327-120-4<br>ISBN-13 978-1-59327-120-6<br></span><br>брать с: _http://www.flazx.com/ebook9652.php<br>или напрямую с: _http://rapidshare.com/files/141521489/1593271204.rar<br>Исходники примеров на сайте.<br>Страница с издательства: _http://nostarch.com/webbots.htm<br><br>Learn how to write webbots and spiders that do all this and more: <br><ul>Programmatically download entire websites<br>Effectively <span style=""font-weight: bold"">parse data from web pages</span><br>Manage cookies<br>Decode encrypted files<br>Automate form submissions<br>Send and receive email<br>Send SMS alerts to your cell phone<br>Unlock password-protected websites<br>Automatically bid in online auctions<br><span style=""font-weight: bold"">Exchange data with FTP</span> and NNTP servers</ul><br>Sample projects using standard code libraries reinforce these new skills. You'll learn how to create your own webbots and spiders that track online prices, aggregate different data sources into a single web page, and archive the online data you just can't live without. You'll learn inside information from an experienced webbot developer on how and when to write stealthy webbots that mimic human behavior, tips for developing fault-tolerant designs, and various methods for launching and scheduling webbots. You'll also get advice on how to write webbots and spiders that respect website owner property rights, plus techniques for <span style=""font-weight: bold"">shielding websites from unwanted robots</span>.</div>",bookwarrior
Инструменты для работы с eBooks,http://genofond.org/viewtopic.php?f=10&t=30,Irbis,"<div class=""postbody""><img src=""http://www.hothotsoftware.com/screenshots/screenshot_large_isbnlookup.jpg"" alt=""Image""><br>И они на этом еще деньги пытаются зарабатывать. Они прогу SpaceLiba не видели...</div>",bookwarrior
