subs,title
"[,],Academic,[,],Business (for profit),[,],Government,[,],Church,[,],Films,[,],Non-profit,[,],Web archiving,[,],Other",Archive
"No formal peer review,No contract; limited license,Trademarks,Personality rights,Jurisdiction and legality of content,Not professional advice",Wikipedia:General disclaimer
,Manuscript processing
"Levels of processing,Finding aids,Standards",Archival processing
" Adding pages without visiting them , Adding whole categories ",Book creator
,Columbia Revolt
, (1950 film)
"[,],Awards", (1963 film)
,1963 in film
,Data proliferation
"[,],User interface,[,],Processors in embedded systems,[,],Peripherals,[,],Tools,[,],Debugging,[,],Reliability,[,],High vs low volume,[,],Simple control loop,[,],Interrupt controlled system,[,],Cooperative multitasking,[,],Preemptive multitasking or multi-threading,[,],Microkernels and exokernels,[,],Monolithic kernels,[,],Exotic custom operating systems,[,],Additional software components",Embedded system
,Template:Optical storage media
,"Rendering finished,Want to print more than one article?"
"[,],Motivation,[,],The lambda calculus,[,],Definition,[,],Notation,[,],Free and bound variables,[,],α-conversion,[,],β-reduction,[,],η-conversion,[,],Arithmetic in lambda calculus,[,],Logic and predicates,[,],Pairs,[,],Recursion and fixed points,[,],Standard terms,[,],Anonymous functions,[,],Reduction strategies,[,],A note about complexity,[,],Parallelism and concurrency",Lambda calculus
,Program transformation
,Horn clause
"[,],In infectious disease,[,],In graft rejection,[,],In autoimmunity,[,],In cancer,[,],Nomenclature,[,],Variability,[,],Examining HLA types",Human leukocyte antigen
,Editing Computer data storage (section)
"[,],Early history,[,],Divisions of the Roman Empire,[,],Recentralisation,[,],Loss of the western Roman Empire,[,],Reconquest of the western provinces,[,],Shrinking borders,[,],Macedonian dynasty and resurgence (867–1025),[,],Crisis and fragmentation,[,],Komnenian dynasty and the crusaders,[,],Decline and disintegration,[,],Fall,[,],Political aftermath,[,],Economy,[,],Science, medicine, law,[,],Religion,[,],Art and literature,[,],Government and bureaucracy,[,],Diplomacy,[,],Language,[,],Primary sources,[,],Secondary sources,[,],Byzantine studies, resources and bibliography,[,],Miscellaneous",Byzantine Empire
,Editing Logic programming (section)
,Akinori Yonezawa
"Data structures,Functions,Dataflow variables and declarative concurrency,Example: Trial division sieve,Laziness,Message passing concurrency,State and objects",Oz (programming language)
,Oz programming language
,Repository
,Consumer Broadband and Digital Television Promotion Act
" Adding pages without visiting them , Adding whole categories ",Book creator
"[,],Diamagnetism,[,],Paramagnetism,[,],Ferromagnetism,[,],Antiferromagnetism,[,],Ferrimagnetism,[,],Superparamagnetism,[,],Electromagnet,[,],Other types of magnetism,[,],Magnetic monopoles,[,],SI units related to magnetism,[,],Other units",Magnetism
,Digital Rights Management
