titles,authors
This technical report is also available in book and CD format.,Program Chair
 Foreword,Gregory Piatetsky-Shapiro
 Automated Analysis of a Large-Scale Sky Survey: The SKICAT System,"Usama M. Fayyad, Nicholas Weir, and S. Djorgovski"
Image Database Exploration: Progress and Challenges,Usama M. Fayyad and Pahraic Smyth (JPL)
Selecting Among Rules Induced from a Hurricane Database,John A. Major and John J. Mangano (Travelers)
Opportunity Explorer: Navigating Large Databases Using Knowledge Discovery Templates,Tej Anand and Gary Kahn (A.C. Nielsen)
Preliminary Investigations into Knowledge Discovery for Quick Market Intelligence,"William P. Alexander, Piero P. Bonissone, and Lisa F. Rau (GE)"
Attribute Focusing: Machine-assisted Knowledge Discovery Applied to Software Production Process Control,Inderpal Bhandari (IBM)
Discovery of the Causes of Scurvy: Could Artificial Intelligence Have Saved a Few Centuries?,"Vincent Corruble and Jean-Gabriel Ganascia (U. Paris VI, France)"
Fault Isolation during Semiconductor Manufacturing Using Automated Discovery from Wafer Tracking Databases,Sharad Saxena (Texas Instruments)
An Application of Datalogic/R Knowledge Discovery Tool to Identify Strong Predictive Rules in Stock Market Data,"Wojciech Ziarko, Robert Golan and Donald Edwards"
Testing the Existence of Functional Relationship in Data,Robert Zembowicz and Jan M. Zytkow (Wichita State University)
A Bayesian Method for Learning Probabilistic Networks that Contain Hidden Variables,Gregory F. Cooper (University of Pittsburgh)
Discovering Dynamics: From Inductive Logic Programming To Machine Discovery,"Saso Dzeroski and Ljupco Todorovski (Inst. J. Stefan, Slovenia)"
Inferring Approximate Functional Dependencies from Example Data,"Tatsuya Akutsu, (MEL, Japan) and A. Takasu (NCSIS, Japan)"
Automating Path Analysis for Building Causal Models from Data: First Results and Open Problems,"Paul Cohen, Lisa Ballesteros, Adam Carlson, and Robert St. Amant (University of Mass. Amherst)"
Measuring Data Dependencies in Large Databases,Gregory Piatetsky-Shapiro and Christopher J. Matheus (GTE)
Bottom-up Induction of Functional Dependencies from Relations,Iztok Savnik and Peter A. Flach
Using Learned Dependencies to Automatically Construct Sufficient and Sensible Editing Views,Jeffrey Schlimmer (Washington St. University)
Integrated Support for Data Archaelogy,"Ronald J. Brachman, Peter G. Selfridge, Loren G. Terveen, Boris Altman, Fern Halper, Thomas Kirk, Alan Lazar, Deborah L. McGuiness, Lori Alperin Resnick (AT&T Bell Labs), and A. Borgida (Rutgers)"
Some Implementation Aspects of a Discovery System,"Willi Klosgen (GMD, Germany)"
Toward Parallel and Distributed Learning by Meta-Learning,P. Chan and S. Stolfo (Columbia U.)
Intelligent Mediation in Active Knowledge Mining: Goals and General Description,Patricia Lynch Carbone (MITRE) and Larry Kershberg (George Mason U.)
Knowledge Discovery Using Genetic Programming with Rough Set Evaluation,"David H. Foster, W. James Bishop, Scott A. King, Jack Park (ThinkAlong)"
Discovering Attribute Dependence in Databases by Integrating Symbolic Learning and Statistical Techniques,"L F. Imam, R. S. Michalski, and L. Kershberg (George Mason U.)"
Learning Database Abstractions for Query Reformulation,Chun-Nan Hsu and Craig A. Knoblock (USC)
Pattern-Based Clustering for Database Attribute Values,Matthew Merzbaehter and Wesley W. Chu (UCLA)
Knowledge Discovery in Object-oriented Databases: The First Step,"Shojiro Nishio, Hiroyuki Kawano, Jiawei Han"
Forming Grammars for Structured Documents,"Helena Ahonen, Heikki Mannila, and Erja Nikunen"
Knowledge Discovery for Document Classification,"Chidanand Apte, Fred Damerau, and Sholom Weiss"
This technical report is also available in book and CD format.,Program Cochairs
 Preface,Usama M. Fayyad and Ramasamy Uthurusamy
 The Process of Knowledge Discovery in Databases: A First Sketch,Ronald J. Brachman and Tej Anand
Exception Dags as Knowledge Structures,Brian R. Gaines
The Interingness of Deviations,Gregory Piatetsky-Shapiro and Christopher J. Matheus
Integrating Inductive and Deductive Reasoning for Database Mining,"Evangelos Simoudis, Brian Livezey, and Randy Kerber"
 Toward the Integration of Exploration and Modeling in a Planning Framework,Robert St. Amant and Paul R. Cohen
On the Role of Statistical Significance in Exploratory Data Analysis,Inderpal Bhandari and Shriram Biyani
Two Algorithms for Inducing Causal Models from Data,Dawn E. Gregory and Paul R. Cohen
Learning Bayesian Networks: The Combination of Knowledge and Statistical Data,"David Heckerman, Dan Geiger, and David M. Chickering"
Homogeneous Discoveries Contain No Surprises: Inferring Risk Profiles from Large Databases,Arno Siebes
Knowledge Discovery in Large Image Databases: Dealing with Uncertainties in Ground Truth,"Padhraic Smyth, Michael Burl, Usama Fayyad, and Pietro Perona"
Selection of Probabilistic Measure Estimation Method Based on Recursive Iteration of Resampling Methods,Shusaku Tsumoto and Hiroshi Tanaka
 Abstraction of High Level Concepts from Numerical Values in Databases,Wesley W. Chu and Kuorong Chiang
Discovering Informative Patterns and Data Cleaning,"Isabelle Guyon, N. Matic, and V. Vapnik"
Dynamic Generation and Refinement of Concept Hierarchies for Knowledge Discovery in Databases,Jiawei Han and YongJian Fu
Substucture Discovery in the SUBDUE System,"Lawrence B. Holder, Diane J. Cook, and Surnjani Djoko"
Efficient Algorithms for Discovering Association Rules,"Heikki Mannila, Hannu Toivonen, and A. Inkeri Verkarno"
From Law-Like Knowledge to Concept Hierarchies in Data,"Molly Troxel, Kim Swarm, Robert Zembowicz, and Jan M. Zytkow"
The Discovery of Logical Propositions in Numerical Data,Hiroshi Tsukimoto
 Architectural Support for Data Mining,Marcel Holsheimer and Martin L. Kersten
From Facts to Rules to Decisions: An Overview of the FRD-1 System,Ibrahim F. Imam and Ryszard S. Michalski
PolyAnalyst-A Machine Discovery System Inferring Functional Programs,Mikhail V. Kiselev
Exploration of Simulation Experiments by Discovery,Willi Klosgen
Applications of a Logical Discovery Engine,"Wim VanLaer, Luc Dehaspe, Luc DeRaedt"
DICE: a Discovery Environment Integrating Inductive Bias,"J. Zucker, V. Corruble, J. Thomas, and G. Ramalho"
 Database Mining in the Architecture of a Semantic Preprocessor for State Aware Query Optimization,"Sarabjot S. Anand, David A. Bell, and John G. Hughes"
Extracting Domain Semantics for Knowledge Discovery in Relational Databases,"Roger H. L. Chiang, Terence M. Barron, and Veda C. Storey"
Rule Induction for Semantic Query Optimization,Chun-Nan Hsu and Craig A. Knoblock
Learning Data Trend Regularities From Databases in a Dynamic Environment,"Xiaohua Hu, Nick Cercone, and Jinshi Xie"
Using Metagueries to Integrate Inductive Learning and Deductive Database Technology,"W. Shen, B. Mitbander, and KayLiang Ong, and C. Zaniolo"
 Efficiently Constructing Relational Features from Background Knowledge for Inductive Machine Learning,John M. Aronis and Foster J. Provost
Using Dynamic Time Warping to Find Patterns in Time Series,Donald J. Berndt and James Clifford
A Comparison of Pruning Methods for Relational Concept Learning,Johannes Furnkranz
A Case-Based Approach to Knowledge Navigation,"Kristian J. Hammond, Robin Burke, and Kathryn Schmitt"
Geometric Comparison of Clarifications and Rule Sets,"T. J. Monk, R. S. Mitchell, L.A. Smith, and G. Holmes"
 Predicting Equity Returns from Securities Data with Minimal Rule Generation,Chidanand Apte and Se June Hon
Application of the TETRAD II Program to the Study of Student Retention in U.S. Colleges,Marek J. Druzdze and Clark Glymour
Comparing International Development Patterns Using Multi-Operator Learning and Discovery Tools,Kenneth A. Kaufman
An Application of KEFM to the Analysis of Healthcare Information,"Christopher J. Matheus, Gregory Piatetsky-Shapiro, and Dwight McNeill"
Proactive Network Maintenance Using Machine Learning,"R. Sasisekharan, V. Seshadri, and S. M. Weiss"
 Machine Discovery Terminology, Willi Klosge and Jan M. Zytkow
