topic_title,topic_url,post_author,post_body,thread_author
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,bookwarrior,"<div class=""postbody"">We don't have much of such statistics, nevertheless it's very interesting what the spectrum of visitors Library Genesis has.<br>Please, feel free to mark your country. By the ""country/region"" I mean your <span style=""font-weight: bold"">affiliation</span> to that country, e.g. your work/studyplace, not your ethnical origin. Because this is your job which makes you interested in LG, not your enthnicity.<br><br>I'm sorry for a crappy division, it's just for a rough marking, it is hard to choose a more strict list (with my Geography skills).<br><br>(Russian)<br>указывайте страну, в которой вы учитесь/работаете, потому что это определяет ваш интерес к LG, а не этнические корни или национальность. Данке шён и всё такое.<br><br>UPDATE, 26 September 2012:<br>статистика по странам, посещавшим <span style=""font-weight: bold""><span style=""text-decoration: underline"">форум</span></span> 25 September 2012 (один день). Весьма другая, вообще другая.<br><br><img src=""http://imageshack.us/a/img100/1187/mostactivecountries.png"" alt=""Image""><br>этот отчёт цифрами в HTML: <!-- m --><a class=""postlink"" href=""http://rghost.ru/40582338"">http://rghost.ru/40582338</a><!-- m --> (HTML/RAR, 15 KB)<br><br><img src=""http://imageshack.us/a/img856/6426/countrypolllg.png"" alt=""Image""><br>Доля Китая такая маленькая видимо потому, что как выяснилось у них есть свои гигантские книжные ресурсы, с книгами преимущественно на китайском языке.</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,Bill_G,"<div class=""postbody"">до блокировки US\Canada<br><a href=""http://www.radikal.ru"" class=""postlink""><img src=""http://s019.radikal.ru/i608/1203/6e/8424eaf09e6f.jpg"" alt=""Image""></a><br><br>после блокировки US\Canada<br><a href=""http://www.radikal.ru"" class=""postlink""><img src=""http://s019.radikal.ru/i624/1203/f0/408ce95fff2d.jpg"" alt=""Image""></a></div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,bookwarrior,"<div class=""postbody"">шикарно! чорт, а где вся Азия?</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,letoknig,"<div class=""postbody""><div class=""quotetitle"">bookwarrior wrote:</div><div class=""quotecontent"">шикарно! чорт, а где вся Азия?</div><br>Может, у них какие-то свои библиотеки?</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,bookwarrior,"<div class=""postbody"">точно нет - проверял. Подавляющее число их ресурсов имеет файлы из колхоза.</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,0-0-0-1,"<div class=""postbody""><div class=""quotetitle"">bookwarrior wrote:</div><div class=""quotecontent"">точно нет - проверял. Подавляющее число их ресурсов имеет файлы из колхоза.</div><br><br>ув.bookwarrior, <br>мягко говоря - ""не соответствует действительности"". пример: boxuesky<br>ps: я просто не знал, что это невозможно.</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,bookwarrior,"<div class=""postbody"">чем же не соответствует? тем, что единственный сайт из десятков что-то делает? Так это называется ""соответствует сказанному в точности"" =)<br><br>за находку огромное спасибо, вы можете взяться за ресурс в плане выкачивания чего-нибудь или связи с ними на предмет выяснения, как это сделать?</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,0-0-0-1,"<div class=""postbody""><div class=""quotetitle"">bookwarrior wrote:</div><div class=""quotecontent"">чем же не соответствует? тем, что единственный сайт из десятков что-то делает? Так это называется ""соответствует сказанному в точности"" =)<br><br>за находку огромное спасибо, вы можете взяться за ресурс в плане выкачивания чего-нибудь или связи с ними на предмет выяснения, как это сделать?</div><br><br>ув.bookwarrior,<br>это не находка - это жлобство и менялы.<br>но таких найдется довольно много... где-то с десяток, с некоторыми можно разговаривать. мне лично ничего не нужно - у меня и так все было/есть/ будет и немножко больше. вопрос: что вы, как один ресурс другому ресурсу, можете предложить взамен - 1, 2, 3... n+1?</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,bookwarrior,"<div class=""postbody"">каждый сам себе путь вырезает: они так делают - мы по-другому.<br><br>предложить мы можем только очевидное:<br>1) сохранить, как файлшара, которая деньги не берёт. Какая им разница, куда направлять линк?<br>2) мы систематизированно это делаем, т.е. их файлы окажутся единым образом проиндексированы и эта база будет им же самим доступна.<br>3) мы сохраним источник, откуда пришло (это не ""давать"", но это гарантирует, что ""отнять"" тоже не будет).<br>4) они узнают, что в их коллекции уже давно есть у нас, смогу это не хостить, например, или контролировать загрузку только уникального добра.<br>5) могут взять нашу базу и коллекцию.<br>6) смогут работать в ключе глобальной унификации контента, хотя бы книжного.<br>7) книги больше никогда не пропадут, а в случае своего исчезновения, их проект сможет восстановиться: чтобы обеспечить себе будущее, надо вкладываться в прошлом. LNU к моим этим словам не прислушалось, двух месяцев не прошло, как это с ними случилось.<br><br>Но это всё мелочи для книжных проектов обычно, потому что:<br>1) за попыткой объединиться или поделиться они видят конкуренцию. Не знаю, мы раздаём всё, ещё догоняем и разъясняем как лучше взять и как побольше взять, организуем раздавалки всякие всеми мыслимыми способами, не зарабатываем ни на чём, но в контексте любого из этих проектов мы всё-равно - конкуренты, потому что сами не заработаем, но и они перестанут получать за рекламу наверное и т.п.<br>2) жаба людей страшно душит<br>3) тщеславие: все хотят стать знаменитыми, первыми, невторыми, потом незаметно богатыми, хотят власти на своей куче и всё такое.<br><br>В общем, обычные человеческие пороки. Все мы ими страдаем в той или иной мере. Пока ни с одним другим проектом не получилось сработаться: жёсткий отрез. А обращался я ко всем. Да чего там: даже колхоз до сих пор живёт своим подземельем. Люди хотят независимости.<br><br>Возвращаюсь к ""что можем дать"". Т.е. практически ничего в плане, в котором обычно они хотят: материального или в виде посещений - что тоже материальное.</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,0-0-0-1,"<div class=""postbody""><div class=""quotetitle"">bookwarrior wrote:</div><div class=""quotecontent"">каждый сам себе путь вырезает: они так делают - мы по-другому.<br>................</div><br>как-то так. все верно, за исключением нюансов.</div>",bookwarrior
What country are you from?,http://genofond.org/viewtopic.php?f=16&t=6411,bookwarrior,"<div class=""postbody"">0-0-0-1<br>почему-то ваш эккаунт как застрял в ""новых юзерах"", у него даже счётчик сообщений с нуля не поднимается, каждый раз приходится сообщения из очереди на модерацию вынимать. Баг что-ли какой-то...</div>",bookwarrior
