topic_title,topic_url,post_author,post_body,thread_author
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,123dutch,"<div class=""postbody"">Hello booklovers,<br><br>My name is 123dutch.<br>I am from the Netherlands. And I am co-admin at uz-translations.net.<br>Our website specialises in everything to learn a language.<br>On uz-translations we are ideologists. We think that information should be free.<br>We would like everyone regardless of origin, religion, status and what more, to be able to gather the information they need.<br>We believe that to prevent books from dissapearing, they must be spread as much as possible.<br><br>We have a few limitations: we do not publish material on our website that IS already available for everyone at very low cost. Because we believe that if all publishers would be like that, we would not be needed anymore. Which would be a good thing.<br>Example: dutchgrammar.com is a dutch website where for something like 2 euro you can download everything from there to learn the dutch language - or <!-- m --><a class=""postlink"" href=""http://www.book2.de/"">http://www.book2.de/</a><!-- m --> where you can also for very little money download everything you need. <br><br><br>Recently I was able to download the complete LG through torrents. We installed it on our server using the same webinterface you are using. Our server is used for backup purpose of our website(s). So it only runs a localhost of LG.<br>So everything from 0 - 874000 is there now.<br><br>Then came our idea how to prevent all this to be lost in case of an emergency. Because harddisks can crash. Servers can be taken down. Torrents at LG can end. So how to make that extra backup in case of such a disaster?<br>Downloading all through torrents again would take too long and one would never know what can happen is such a long period.<br><br>In the Netherlands Usenet is very common to use. It has a few advantages over torrents - and also a few disadvantages. But for OUR goal it would fit perfectly.<br>The disadvantages: it is not possible to download 1 single book - you can only download 1 book at a time / you need a payed usenetaccount to acces the files on Usenet.<br>The advantages: the files are stored on Usenet for 4.5 years before they are deleted / you can download from usenet at the speed of your internetconnection / uploading and downloading can be done anonymous.<br><br>Simultaneously we are reaching out to become more friends with communities that share the same ideology as we do. So we reached out to become friends with LG. And here we are now.<br><br>We know that there are many people that would like to download to entire collection. And from there-on spread further.<br>And this could also be a good way to have an EXTRA way for downloading everything, next to torrents. But as said earlier, you cannot just pick 1 book - only 1000 at a time.<br>Downloading the entire 9TB collection over Usenet takes at most 2 weeks - depending on your internetconnection ofcourse. You can download to 100MB/s.<br><br>Uploading the entire LG to Usenet will take me about 3 months. End of march I hope to be ready.<br>Files are uploaded exactly as the contents of the torrents. With 1000 books. With the same foldernames. With the original MD5.<br>It is YOUR library so we will only add the files on our forum - no where else (only if you want us to) - and we will give the files to download ofcourse to you here at LG. If you wish to add them to your website or spread them further, I would only like to encourage that.<br><br><span style=""font-weight: bold""><span style=""font-size: 150%; line-height: normal"">How it works</span></span><br>Let''s take folder 619000 per example. Everthing in the folder is rarred in pieces of 1GB. Added are par2 files (used on usenet to repair the rars). On usenet little things go wrong with uploading sometimes and the combination of RAR and PAR is used to be able to repair if neccesary and download in 100% exact state. The namegiving must always be unique - else finding things on usenet is difficult - so the generic namegiving I chose is: gen619000esis (and for 618000 this is ofcourse gen618000esis). <br>This gives then the following files: gen619000esis.part01.rar, gen619000esis.part02.rar etc PLUS gen619000esis.par2, gen619000esis.vol000+01.PAR2 etc. <br>If you search on usenet you will find all the files together when you search for gen619000esis<br>Let''s use binsearch.info to search gen619000esis:<br><!-- m --><a class=""postlink"" href=""http://binsearch.info/?q=gen619000esis&amp;max=100&amp;adv_age=1100&amp;server="">http://binsearch.info/?q=gen619000esis&amp; ... 00&amp;server=</a><!-- m --><br>You see here the entire 619000 collection: 9 par2 files, 12 rar, 1 NZB.<br><br>Currently the publishers have their arrows on Usenet search engines, like binsearch.info.<br>In the rare event that all usenet search engines would end, there is still the NZB file. The NZB file (like a .torrent) contains all the files  as you see when you would search for the files. Meaning that with downloading you will not need a search engine at all. Only the NZB file will be enough. You simply add the NZB into your newsreadingprogramm and the download starts automatically.<br><br>I am aware that downloading with Usenet is not so common in Russia. So should you have more questions feel free to ask. there is much more to explain if needed.<br><br>Here is more info how usenet works:<br><!-- m --><a class=""postlink"" href=""http://www.binaries4all.com/"">http://www.binaries4all.com/</a><!-- m --><br><br>And lastly: thank you very much for welcoming me into your home <img src=""./images/smilies/icon_e_smile.gif"" alt="":)"" title=""Smile""><br><br>Kind regards,<br>123dutch</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,are,"<div class=""postbody"">hi 123dutch,<br><br>this is very interesting! Thank you for spreading the books.<br><br>some people tried to download files from uz-translations, and one problem with uz-translations is that there is no way to download the entire collection of files. Is it available on usenet? Is there a list of all files, or some kind of database where all files are listed?</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,123dutch,"<div class=""postbody"">Dear are,<br><br>We are in the middle of a process in centralising the data.<br>At this moment  - other than one by one - it is not possible to download the entire collection.<br>After the proces this will be a little easier, but still dificult. <br>Many data on uz contains of books+audio. Should you want to download everything then we are talking about 50TB+ on data.<br>LG would probably be only interested in the books - not the audio. And then even only the books that are not on LG yet.<br><br>The centralising may take 4-6 months.<br>And we need some time to adjust to that idea as well. Sharing and spreading data IS eminent, but we are undergowing huge changes ourselves at the moment (all good) and after the changes we need to settle-in a little bit. Then we can think what would be the best way.<br>For the time being most of our data is already protected - I am saying """"most""""  because this is what the centralising of our data implies to begin with.</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,bookwarrior,"<div class=""postbody"">from our <span style=""font-weight: bold""><a href=""http://genofond.org/viewtopic.php?p=25006#p25006"" class=""postlink"">previous discussion</a></span> only uz-trans whoud have maximally 300 GB of textual books (no audio etc), correcting for the excessive URLs in the uz-trans blog the number reduces to about 100 GB. It is harder to say how many intersection LG may have with uz-trans, but I expect it's a lot, more than 1000 books, which is a huge collection if to speak about a professional/dedicated topical library, we have at least one remarkable example collected by plantago on botany. Realistically we should expect probably <span style=""font-weight: bold"">5000-8000 new books</span>, because the number of our books on linguistics is probably about 2k. This is only from uz-trans.<br><br>welcome, and feel at home!</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,Bill_G,"<div class=""postbody"">повесил на главной объявления.</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,123dutch,"<div class=""postbody"">Personally I expect more than 300GB.<br>In the process of getting all links centralised, LG is one of the main sites for us to check when files are missing to bring back to UZ, and sections as linguistic are often found here on LG, but specific language learning books often not.<br>My estimate would be more like 25000 books are missing on LG from UZ (not counting greylib, turklib).<br>The average post on uz has 2 books. We have 40.0000+ posts. Of these 40.000+ at least 50% is true language learning material.<br>This seems much, but it is what i see every day.<br><br>It does not matter so much.<br>I am thinking about a system how to get the books only, to LG.<br>I have no idea if one of you has a high speed internetconnection. Else (after the books are centralised) I could set up a torrent file to 1 person here with all the needed books in. Something like that. Other ideas are welcome.<br>But - though I believe this must be done - many people on uz still need to get used to that idea. So give it a little time.<br><br>What I AM seeing is only positive changes at UZ, and a BIG increase on new visitors daily.<br>We have 380.000 registered members, and the number of active ones is unknown. I am guessing 10%. But as an example, 8 books of Cortina were published today (a must have for LG in my opinion by the way) and after 10 minutes online we already counted 100 completed downloads. This gives me a little idea of how active the community is.<br><br>The transformation of the idea that books should spread is gradually spreading through other members. But for some people little steps are needed. Too big steps at once, and they will get scared with all the change. We admins LOVE the change by the way. We embrace it completely. And the path to take is obvious and inevitable to keep the books alive.</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,bookwarrior,"<div class=""postbody"">uz-trans is a beautiful resource, it's obvious that people would wish to dwell there, unlike in LG. It is usually the case: if the project is liveable, it has a large permanent community. We observe the same effect with lib.rus.ec, flibusta.net, awaxhome etc etc. Humans need home, not just a beautiful engine.<br><br>On the side of the structure, I wish you regularize it in future for simpler handling, then centralization won't be a pain any longer. Of course when the project has been running for years with an unstructured accounting of the book records and files, it's gonna be quite an effort to first sort out the problems with the old records that need to be accurately collected etc. Since I've been trying to parse your site, I can say it is very hard and should mainly be done by hands. A very little effort in the beginning would've eliminated the need to heat the ocean at present. I mean the fields of a book record should've been fixed and the files should've been rigirously linked to the records. That's what we have in LG and, in fact, nothing else. The rest is we track that this link between the file and the record is not broken.</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,123dutch,"<div class=""postbody"">It is true - we have had no structure at all for many many years - so everything IS done right now to manually get everything centralised.<br>Yes, this is much work. Hence the 4-6 months we expect to need for this. But after this things will be in control. Still much optimilisation will be needed then, but we will be ready to spread the neccesary material to LG.<br>But this is done by multiple hands - not only 1 anymore - all working for the same goal. <br><br>When it comes to further optimilisation after we centralised everything, this will be still an imense job. Since many of our posts need to have a interactive design because newer posts/better posts/completer posts to an existing post are added on a daily basis, it is more difficult to bring structure without losing the flexibility. For books only we could use isbn or something like that, but since in our case we are talking about multimedia material as well -and the for us needed coherency between the books and the added material - it needs a more complex design. <br>Currently we have no other option but categorising per language.</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,bookwarrior,"<div class=""postbody""><div class=""quotetitle"">123dutch wrote:</div><div class=""quotecontent"">For books only we could use isbn or something like that, but since in our case we are talking about multimedia material as well -and the for us needed coherency between the books and the added material - it needs a more complex design. <br>Currently we have no other option but categorising per language.</div>I'd split the categorization issues from the core part: how to store the record and the file - those two are the core, the rest should come along. I think it would help you a lot, if you prioritize the structural features: flexibility on the Web may stay exactly the same while the core information is collected in a rigorous/stable way. For example, if each book-thread has a field to enter URLs relevant to the book and a flag to show which records are out-of-date, you are done, your database will be tracking only the most recent information. It's sketchy, but the way of collecting links must be exceptionally robust. Even if you do not mark up the old records as obsolete, the collection of all links rigirously is already a big deal. In the most trivial way it may look as the HTML textarea. The posts may additionally be filtered for any presence of URLs to make the user fill in the textarea instead.<br><br>The thread head would needs some fixed set of field, as usual in bibliography. Users should not have unnecessary degrees of freedom at filling the records, it should all be templated. Otherwise they'll be entering anything they like in any format.<br><br>Though, it'll be difficult to make all fields rigorous, and absolute strictness will discourage many ot upload at all. Because bibliographic records are very complex in their general form. Many fields would need to be left for free style completion. For this reason in LG there are fields that are <span style=""font-weight: bold"">never</span> changed from the Web, they are only displayed in read-only mode: ID, MD5, filesize and file extension. Those are vital for the collection integrity and must not be changed. Everything else can be changed. I guess in your case you'd also need to distinguish what must be strict and what must not be, for the sake of flexibility.</div>",123dutch
Library Genesis on Usenet,http://genofond.org/viewtopic.php?f=17&sid=af7ae4baf277d09e04438c238bb33704&t=6769,123dutch,"<div class=""postbody"">I agree that something or some things NEEDS to have a status that never change.<br>We will need to figure out how to do that. Because currently even POSTS itself need to be deleted quite regularly in order to have the most actual information present on the website.<br><br>If we were to make a system with parts that never change, then we really would need to start building from scratch. It can be done.<br>But this would take NOW more manpower than we can handle. So for the time being - till a major website upgrade is planned anyway - we have to at least gather all material centralised. Which could have been done more effectively if we had a system like you wrote out, true.<br><br>When UZ started in 2004 the needed information on every post was much different from now. No one expected to grow so much.<br>So over the years items were more and more difficult to find - we implemented some changes - but never from scratch. So in the website you see posts from 2004 which are already differenly structured that posts from 2008, and so on.<br><br>Thanks for you insights <img src=""./images/smilies/icon_e_smile.gif"" alt="":)"" title=""Smile""></div>",123dutch
