topic_title,topic_url,post_author,post_body,thread_author
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,5161440,"<div class=""postbody""><div class=""quotetitle"">Bill_G wrote:</div><div class=""quotecontent"">5161440<br><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=9362302f6e1e32ed15b5f7474d0e74cb"">http://libgen.org/book/index.php?md5=93 ... 474d0e74cb</a><!-- m --><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=98faf23a6e2dc179beecf69aae102c44"">http://libgen.org/book/index.php?md5=98 ... 9aae102c44</a><!-- m --><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=ababe2aa1915e39f68beb225819acc6b"">http://libgen.org/book/index.php?md5=ab ... 25819acc6b</a><!-- m --><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=a5d715d45f533191be8d9ae9a574072a"">http://libgen.org/book/index.php?md5=a5 ... e9a574072a</a><!-- m --><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=dcc8ff04de2fff6ec9fffc6674deab13"">http://libgen.org/book/index.php?md5=dc ... 6674deab13</a><!-- m --><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=fe61f2fdc113c644b5216d361ad6ee1d"">http://libgen.org/book/index.php?md5=fe ... 361ad6ee1d</a><!-- m --></div><br>--------------------------------------------------------------------------------<br>correct the name ov it plz...<br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=ababe2aa1915e39f68beb225819acc6b"">http://libgen.org/book/index.php?md5=ab ... 25819acc6b</a><!-- m --> (Heat Treatment: Conventional and Novel Applications)<br><br>this is still there not added i guess<br><br>Science and Technology of Casting Processes<br>Link: <!-- m --><a class=""postlink"" href=""http://depositfiles.com/files/8r2ex4yvh"">http://depositfiles.com/files/8r2ex4yvh</a><!-- m --><br>Mirror: <!-- m --><a class=""postlink"" href=""http://rapidgator.net/file/46502387/Sci"">http://rapidgator.net/file/46502387/Sci</a><!-- m --> ... 2.pdf.html<br><br>ISBN: 9535107743</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,5161440,"<div class=""postbody"">this is the optimized n better version ov this plz add it as well....<br><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=BC32350319ECA25EAC6E2B87377CFBC2"">http://libgen.org/book/index.php?md5=BC ... 87377CFBC2</a><!-- m --><br><br>Cement Chemistry, 2nd Edition<br>H F W Taylor (Author)<br><br>download Link: <!-- m --><a class=""postlink"" href=""http://bit.ly/P03X5i"">http://bit.ly/P03X5i</a><!-- m --><br><br>ISBN:0727725920</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,5161440,"<div class=""postbody"">this is the optimize version ov the following plz add it....<br><br><!-- m --><a class=""postlink"" href=""http://libgen.org/book/index.php?md5=2B2EB8CCA89CC05FEDCCE96795FD367D"">http://libgen.org/book/index.php?md5=2B ... 6795FD367D</a><!-- m --><br><br>Forest Products and Wood Science, 6th Edition<br>Rubin Shmulsky (Author), P. David Jones (Author)<br><br>download Link: <!-- m --><a class=""postlink"" href=""http://bit.ly/Simfdt"">http://bit.ly/Simfdt</a><!-- m --><br><br>ISBN: 081382074X</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,pengkuang,"<div class=""postbody""><span style=""font-weight: bold"">Analyzing Schubert</span><br>Author: 	Suzannah Clark<br>Publisher: 	Cambridge, UK ; New York, N.Y. : Cambridge University Press, ©2011.<br>ISBN: 	9781139126922 113912692X<br><br>download Link: <!-- m --><a class=""postlink"" href=""https://www.box.com/s/8dj2ccbsqeor5wveq3i4"">https://www.box.com/s/8dj2ccbsqeor5wveq3i4</a><!-- m --></div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,Bill_G,"<div class=""postbody"">pengkuang 	<br>5161440<br><br>Why not use<br><!-- m --><a class=""postlink"" href=""http://libgen.org/librarian/"">http://libgen.org/librarian/</a><!-- m --> ??</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,jammy0403,"<div class=""postbody"">India a history : John keay</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,5161440,"<div class=""postbody""><div class=""quotetitle"">Bill_G wrote:</div><div class=""quotecontent"">pengkuang 	<br>5161440<br><br>Why not use<br><!-- m --><a class=""postlink"" href=""http://libgen.org/librarian/"">http://libgen.org/librarian/</a><!-- m --> ??</div><br>--------------------------------------------------<br>Bill_G<br>i tried several time but it comes failure at the end when file gets 100% uploaded... n it lost connection from the server... is there any possible file hosting site from which u can connect? like LNU used ifile in past???</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,Bill_G,"<div class=""postbody"">you can upload file here<br><!-- m --><a class=""postlink"" href=""ftp://libgen.org/!upload/"">ftp://libgen.org/!upload/</a><!-- m --> (or other filehosting with direct links to files)<br>and then enter in the second field link to the file from ftp<br>(""Input Link for upload from remote server"")</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,5161440,"<div class=""postbody""><div class=""quotetitle"">Bill_G wrote:</div><div class=""quotecontent"">you can upload file here<br><!-- m --><a class=""postlink"" href=""ftp://libgen.org/!upload/"">ftp://libgen.org/!upload/</a><!-- m --> (or other filehosting with direct links to files)<br>and then enter in the second field link to the file from ftp<br>(""Input Link for upload from remote server"")</div><br><br>hoe to add book here <!-- m --><a class=""postlink"" href=""ftp://libgen.org/!upload/"">ftp://libgen.org/!upload/</a><!-- m --> if possible elaborate it plz<br>how this will go to uploads... help it out<br><br>The Science and Practice of Rubber Mixing (Rapra Handbook) <br>N. Nakajima (Author)<br><br>download Link: <!-- m --><a class=""postlink"" href=""http://bit.ly/NWkvd2"">http://bit.ly/NWkvd2</a><!-- m --><br><br>ISBN: 1859572073</div>",5161440
Book pick-up from other sites by URL,http://genofond.org/viewtopic.php?f=17&sid=11a90239cf8687b1817ca18cf3591979&start=50&t=6570,jirjinazir,"<div class=""postbody""><div class=""quotetitle"">5161440 wrote:</div><div class=""quotecontent"">If someone can plz add it in LG<br><br>Himalayan Glaciers: Climate Change, Water Resources, and Water Security<br><br>Link: <!-- m --><a class=""postlink"" href=""http://depositfiles.com/files/qvgv5u5sp"">http://depositfiles.com/files/qvgv5u5sp</a><!-- m --><br>Mirror: <!-- m --><a class=""postlink"" href=""http://rapidgator.net/file/45750715/HimalayanGlaciersClimateChange.pdf.html"">http://rapidgator.net/file/45750715/Him ... e.pdf.html</a><!-- m --><br><br> ISBN: 0309260981</div>Thanks. It's a good book.</div>",5161440
