category,body,about,tags,headline,author,metatext
"Featured,In the Hood"," ,by Cat Agonis,Some things yous can’t escape. That’s what I’ve learned about it all. I can’t escape bein a man. I get jealous and tight sometimes. Specially at work in front of the boys, if someone challenges me… And yous know how it is wit a dame. Some things yous can’t escape and that’s what I know.,I grew up in College Point. My family clan is from there. We’re Irish-Italian. I got pushed out to Maspeth to oversee a branch of pop’s plumbin business cause the Dooleys expand like that. Been in Maspeth since I was 19. Been in Maspeth for 15 years. It’s Queens–it’s where I’m from it’s who I am. New York baby.,Maspeth is a nice little place. It’s like yous in a village even though yous in Queens. For those of yous who don’t know Queens, alotta Queens is like that. In Maspeth they string the Christmas lights in December and have funeral homes for the departed. In Maspeth yous meet a cat young and he’ll be ya boy for life. Yous meet a girl young and she’ll be ya girl foreva.,My girl wasn’t my girl foreva though. Maybe that’s cause I actually met her in Forest Hills. Sometimes I take it there, to other parts of Queens. I took it too far in Forest Hills a coupla times and that’s how I ended up both wit my girl and then without her. She’s in Staten Island now wit my daughter and I’m sure to see my daughter every Sunday.,But otherwise I work and hang wit the guys. We talk about the girls we done, the ones we haven’t, the famous ones we never will – ya know, like Angelina Jolies. Just last Saturday I was at my boy Reggie’s. We was all playin beer pong and I can’t explain it. I got this feelin like I knew my life was gonna end…I heard things about the world endin in 2012 and the rapture from movies, like the action ones. I decided to make the most of it and smoke a blunt. Ya know. YOLO.,Now I don’t smoke that much. I’m really just a drinker, so this did my head in a little. I got the cabin fevers people sometimes get when they’re young and they can’t wait to get older, can’t wait to do things. Well I felt I wasn’t doin nuttin.,I thought I’d roll out to this bar we call the biggest little party place in Maspeth. Sometimes there’s hot young dames wearin tube tops, drinkin hard lemonades and whatnot, but this was a bad night. I hopped in my ride all drunk and high, lookin to get outta this town for once. I was too twisted to drive to Manhattan though. That was for sure. Instead I went down Flushing where I sometimes work. They got alotta buildins that need plumbin over there. Buildins for factories and stuffs. I never seen em at night and I doubted much happened ova there but for some reason I drove that way anyways. Outta habit I guess.,On the ride I thought about my life; maybe I could do more, maybe I could do less but ya know what – at least I was workin. All this thinkin made me paranoid and I seen some things that wasn’t there. Ya know, maybe I thought I saw the boys in blue or somethins.,I pulled over and wouldn’t ya know it – in the wall of some buildin was a door to a bar. Holy shit, I says to myself – I didn’t know they had bars round here.,I went inside to take a look, cause ya know – YOLO. There were all sortsa freaks. Guys in girls jeans, girls in boys shirts wit the checkers on em. One girl had her head shaved and then one dame had hair so long she was sittin on it. I took my place and ordered a Bud but they told me they didn’t have Bud so I says, “Give me the next best thing,” and they gave me some PBR. I was like, Ya know what? That’s good enough for me. Pops drank PBR back before the cancer. Back before the nursin home in Rego Park.,So then this dame comes up to me. She wasn’t sloppy like the girls in Maspeth with their stuffs hangin out, but somehow sloppy like she didn’t brush her hair or somethin. She was wearin these huge glasses like she had serious eye problems so I kinda felt bad for her at first. But then she had on some tight shiny shift wit some dude’s shirt all unbuttoned ova it. I was thinkin – Whose shirt is that? Well, she just rolled right up to me like it was nuttin and she goes, “Um, you’re not from around here, are you?”,Who was she talkin to? Me?! I’m a member of the Dooley clan!,“Not from around here?” I says. “What are ya talkin bout I live right up the road. Are yous from round here?”,“Yeah, I live around the corner.”,“But yous grew up here?”,“No. I grew up in Connecticut.”,“But ya from here?”,“Yeah. I just said I live right around the corner.”,Oh man. I was missin somethin.,Next thing I know she’s talkin to me like, What are you doing over here? And What do you do for a living? I get to tellin her bout the plumbin. How I grew up in Queens. How I was high and checkin out this hood…I was lookin for somethin new since I was stoned wit the cabin fevers and boy did I find it: a bar where people take a shot of whiskey and then follow it wit a shot of juice from a freakin picklejar! People got some strange customs in other hoods, let me tell ya.,She starts talkin to me wit some dreamy voice like she high too, sayin things like, “Queens, I never go to Queens,” and “You know I’ve never hooked up with a guy like you before.” She starts tellin me bout this pizza joint round the corner where they put a farm-on-the-table, whateva that means. She says the brick oven is legit. She says it’s the best freakin pizza in New York City. Then she all flirty and surprised like, “You haven’t been there? Everyone knows it though…it’s the best. SO many writeups.” So I says, “You eva go to Rosas in Maspeth? It don’t need no writeups.”,She shot me a snotty look and says, “Um, no.” And I say, “But it’s right there. In Maspeth. It’s like, a mile away. C’mon! Everybody know Rosas!!”,We go back and forth talkin like we know our pizza better than the other, even though we never tried the other or even hearda it – but it don’t matter cause I know I’m right anyways. Then she just starts makin out wit me outta nowheres! She goes, “You wanna go for a walk?” I told her not really. She tells me how there’s another great bar in the area and how there’s a sushi joint open late or somethins and I’m like, “Nah, I don’t need to see any a that uncooked fish stuffs.” Then she says to me, she goes, “I gotta run. You should come pick me up later. But my ex-boyfriend is crashing at mine so you have to wait until he falls asleep to get me. I’ll call you. Take me back to yours and show me Maspeth.”,I was like, WOAH. Okay. That sounds like a plan even though she’s kinda snobby and maybe hasn’t washed her hair in the past coupla days. Maybe I could talk her into startin out in the showa first, rub in some Head n Shoulders and then we take it to the bedroom. I give her my number and didn’t have no other place to go. I figured I’d chill at mine for a hot second while I waited for her to call. It was only a five minute drive anyways.,Needless to say when I got home I was freakin tired. I fell asleep on my couch after smokin a cigarette, drinkin a Coors Light and watchin recaps from the game. I woke up the next day and checked my phone, worried maybe I missed out on showin this dame a good time. Showin her Maspeth, real New York and Rosas. But as it turned out she neva called me anyway. I guess it’s just who we are, ya know?",,"Bushwick,Cat Agonis,Shanon Weltman,Short story,Sunday Read","
									Sunday Read: ‘It’s Who We Are’ by Cat Agonis							",Editors,"					
					, | 3.31.13 | , 
				"
"Editor's Pick,Featured", ,"Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.",bushwick weekend guide,"
									Bushwick Weekend Guide 3/29/13-3/31/13							",Katarina Hybenova,"					
					, | 3.29.13 | , 
				"
Pets,"Have you always dreamt of adopting a cute little munchkin cat but never got around it? Now it’s easier than ever with ,, a new pet store located on 12 Cypress Ave, you can adopt your kitten right here in Bushwick! ,Pet Superette is a sister store to PS9 Pets on North 9th in Williamsburg and, if you ask us, it’s not just any pet store. Sure, they offer high quality food for your cat, dog, fish, iguana, you name it, and a variety of beds, funny dog outwear, and other pet necessities. Most importantly, however, is that they are really engaged in helping street cats and in cat adoption.,Pet Superette has tw kittens and two adult resident cats who temporarily live in the store and are available for play, foster care or even adoption. Most of the cats are rescues from the Bushwick/Ridgewood area, which is known for a particularly high number of feral cats. I personally brought in Billy Jean, an adorable skinny kitten born in my backyard, who morphed from a scared cat into a leader of kitten mischief in the store. “This morning I came in to the store and it looked like they had a party while we were closed,” laughed Dottie Evans, an employee at the store. Apparently, the kittens managed to rip open a bag of catnip and cat food, and spent the night running around the store, tossing around toys and beds.,In addition to the resident kitties, Pet Superette closely collaborates with a cat rescue organization, , that runs a regular adoption day at Per Superette. , (not Sundays anymore), the organization brings in cats in cages available for adoption or foster care. Members of Kitty Karetakers are present in the store during the adoption day, and they are also very knowledgeable people to consult if you have any questions regarding feral cats living in your backyard or on your block, affordable spay and neuter programs, etc.,As you can imagine, cat rescue and vet services are not exactly cheap. To support this endeavor, you can donate any amount online or in-person at Pet Superette. Additionally, Kitty Karetakers is a 501(c)(3) not-for-profit no-kill organization, and the donations are tax-deductable., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.",,"
									Bushwick’s Pet Superette Offers Adorable Cats and Kittens for Adoptions							",Katarina Hybenova,"					
					, | 3.29.13 | , 
				"
"Arts and Culture,Editor's Pick,Featured","Art to your life is like chocolate bunny to your Easter. It is not advised to go without art for too long. Get your dose of artful Bushwick every week! New exhibitions in Bushwick usually open rain or shine on Fridays and Saturdays; ongoing shows can be seen during gallery hours that by average fall on weekends 1-6PM. This week, we are excited for life-sized portraits, photographs and lots of new media art!,Here at ,, we have a soft spot for Centotto, an apartment gallery run by Paul D’Agostino on Moore Street. This Friday, Centotto opens a show called ,that will feature paintings by Kerry Law, mixed media works by Dumitru Gorzo, photographs by Maureen Drennan, and sculptures and video by Nathaniel Lieb. We are excited to see the works of Kerry Law, who is well known to Bushwick art community thanks to his silent repetitions of Empire State Building. On Friday we will see his lesser known work - two large portraits among others. (,), ,One of the most prolific photographers in the the area, Rafael Fuchs hasn’t stop working for a second since he opened his gallery, Fuchs Projects at 56 Bogart. , is Fuchs’ fifth solo show since they opened in August 2012 (besides the work of Rafael Fuchs, the gallery has featured the works of several interesting photographers from the area like Worm Carnevale or Petros Chrisostomou). Fuchs says that there is no discrimination between editorial and art, between document and construct, between technology and affect…As a largely photography-based blog, we at , can’t help but be really happy for a quickly growing photo gallery in Bushwick. (,),Outpost Artists in Ridgewood has a big audio visual night coming up this Sunday. They have invited a plethora of video and sound artists and scheduled a number of realtime performances for their first installment of A Realtime Media (Audio Visual) Performance series at Outpost Artists Resources. The second night is planned for June, and they are still accepting submissions and/or any sort of help. (,), ,After their collaboration on the Sister Unn’s project (2011-2012), artists Bunny Rogers and Filip Olszewski joined forces with art critic and curator Gene McHugh. Their installation, explores the themes of childhood, loss, and identity. The first part of the installation is located in the front space and consists of twelve computer speakers playing audio from Youtube covers of The Band Perry’s song “If I Die Young” made by young girls. On display in the rear gallery are ten custom-made, twin-size blankets on watermarked photos from an Internet-based child modeling agency. The photo is replaced by the average overall color, the agency’s watermark color remains embroidered into the wool fabric. The installation will be going on until Sunday March 31st and is accompanied by ,. Check it out! (,), ,This Sunday, Transfer gallery is inviting you to get your hands on one of the 30 prints of the limited edition book Truisms by artist Alexandra Gorczynski produced for her ,. Cocktail party and a book signing will be followed by a screening of new work produced at the gallery as part of Alexandra’s exhibition. The book release is part of the innovative model of Transfer gallery – the proceeds from the sales of the book will help funding future installations by artists working in computer-based media. (,), , ",,"319 Scholes,Centotto,Fuchs Projects,Outpost Artists Resources,transfer","
									Top 5 Bushwick Art Shows This Week to Make Your Easter Bunny-Worthy							",Editors,"					
					, | 3.29.13 | , 
				"
Music,"Last weekend, we discovered a brand new band, quintet ,. Stone Cold Fox has a young American indie rock sound that’s more than about just partying. Lyrically, every song was crafted beautifully, showing their mature songwriting capabilities. Their set was vibrant, young, nostalgic and reminiscent of the perfect summer NYC night. To my surprise, this Bushwick Music Crush put some much-needed spring fever into my heart. ,Kevin Olken (lead vocalist/guitarist) and Ariel Loh (producer/synth) founded the rock band while attending SUNY Purchase upstate. The duo was later joined by Justin Bright (electric bass/bass synth), Graham Stone (guitar, backup vocals) and David Tedeschi (drums). Kevin Olken has a memorable voice that compliments well with the other bandmates energetic pace. The arrangement and production value are top-quality while still maintaing an organic, unforced feel. Listen to “Stone Cold Fox” by the band above., ,The internet is buzzing with positive feedback for this quintent collab. Their EP, ,, dropped last summer and has gained notable attention. From being featured in , to having their latest video featured on MTV Buzzworthy, the band is gathering a supportive crowd. Check out their video below for single,. “Seventeen” which features all the guys trying to cheer up their heart -broken mate Kevin.,If you didn’t get a chance to hear them live, their next show will be for the ,in Union Square Monday, April 22nd.,Check out more work by our photographer, ,.",,"Brooklyn,Filter Magazine,Glasslands,purchase,rock,Seventeen,stone cold fox","
									Bushwick Music Crush: Stone Cold Fox							",Devon Groomes,"					
					, | 3.29.13 | , 
				"
In the Hood,"We are over the moon here at , because last night we won a third place Ippies Journalism Award for the best photograph!, is a wonderful effort of Center for Community and Ethnic Media, which is an initiative of CUNY Graduate School of Journalism. In its 11th year, the Ippies were awarded in several categories (best investigative/in-depth story, best editorial, best design, etc). , was considered for an award for the first time this year among 50+ community and ethnic publications, and won third place for Best Photograph.,The winning photograph, ”Lady with the Broken Leg, was originally published as part of a photo essay we published in July 2012, ,I am personally very happy that the judges liked “Lady with the Broken Leg” so much because the photograph encapsulates everything what we’re about at ,: joy of everyday life, sense of belonging and community, and a belief that, despite not everything being perfect, we can live a good life here in Bushwick, Brooklyn.","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","best photograph,Bushwick Daily,ippies awards 2013,Katarina Hybenova","
									Bushwick Daily Won an Ippies Journalism Award for the 3rd Best Photograph							",Katarina Hybenova,"					
					, | 3.29.13 | , 
				"
Music,"Eclectic musician, performance artist and - yes, you got that right - a contributor to Bushwick Daily, , has just released a single , largely inspired by the Bushwick soundscape. You can hear sirens, a police radio, and factories in the track that was recorded with a boom mic from her window at Knickerbocker Ave. “I recorded this with a lot of Bushwick in my soul,” Ana said. The lyrics are taken from Pablo Neruda’s quotes.,Ana Lola Roman, originally from a small town in Oklahoma, has Spanish roots, and has also lived in Berlin. She is currently working on her debut album ,, which will be released in June 2013., ","Combination of a writer+photographer, and the founding editor of Bushwick Daily. She can easily be moved by reflection of the sky in a puddle. Yogi, runner, Buddhist.","Ana Lola Roman,Bushwick,music,puma'a","
									Ana Lola Roman Releases a Bushwick Inspired Song							",Katarina Hybenova,"					
					, | 3.28.13 | , 
				"
Arts and Culture,"Ever heard of Eve Ensler’s play, ,? For those who love the script, missed out on the pop culture phenom, or any of you curious about the inner workings of a woman’s brain, fret not! Bushwick is getting its own dose of pussy power! Led by ,, the, will be presented at , from April 5-7, 2013 and features a cast comprised of seasoned and rookie actresses who interpret the scripts as each woman would - differently.,These inner monologues have been presented a countless number of times, including on the Madison Square Garden stage and a televised production on HBO. The text is beautifully erotic and empowering. Sexual experiences and internal struggles are simultaneously harmonious and jarring. The vagina is put on a pedestal and then scrutinized/adored/questioned. So what’s the reason for another production,?,The onslaught of sexual harassment incidents in Bushwick , motivated Meggie to produce these popular and socially criticized tales. Meggie states that “,is an incredible resource for generating conversations about women’s issues.” She wants to curate engaging discussions about a woman’s experience, and she believes that ,allows for that outlet because “you can engage without using your own words.”,, Meggie invited any and all females to participate. She wanted to open the experience up to the community in hopes that it would provide an outlet for Bushwick women to meet and interact with one another. Part of this community initiative operates on honesty, as each cast member contributes her OWN story to the performances.,All three performances have different casts, totaling 27 edgy and Brooklyn-ified personas. One of the two women performing “My Vagina Was My Village,”,a monologue about a Bosnian rape victim, is a committed career activist for women’s advocacy and health. DiBa, a ,, is incorporating movement into “Reclaiming Cunt” to complement the fluidity of the piece. The woman performing “The Woman Who Liked to Make Vaginas Happy” has participated in two other productions of ,, and is using her role to experiment and challenge herself with a role she customarily would not take. And Meggie’s own mother is performing “I Was There in the Room,” Eve Ensler’s personal monologue about witnessing her grandchild’s birth.,Considering the range in professional performing experience, the cast has integrated warm-up exercises into their rehearsals that work to build on-stage confidence. They are also practicing various acting techniques guided by coaches who are also part of the cast, including members of all-female improv group, The Works. Meggie’s intention when casting the show was “for every woman that was interested in performing to play a role, regardless of her acting experience. A lot of times women are deterred by the competitive nature of auditions or are intimidated by performing on stage. From the beginning, my goal was to foster a supportive community of women that would encourage one another. Activism is at the core of this performance.”",I am interested in immersive experiences of all kinds. Follow me on Twitter @radish10.,"Bushwick,Eve Ensler,Pinebox Rock Shop,The Vagina Monologues","
									Go See Some Bushwick Pussy Power							",Ashley Mathus,"					
					, | 3.28.13 | , 
				"
"Featured,Music","Sometimes by the time the end of the week rolls around, you want to get it. Grab it, make it yours. Enjoy it, savor it, do it right. Whether you’re thinking of the ass of your crush OR that satisfactory Friday night show you’ve been waiting for, go forth with Bushwick Daily’s blessing, the hymn-like statement, “Get it Guuurl.” Here are the top 9 shows this weekend in Bushwick and beyond - we’ve got FREE parties, some DIY concerts, a festival, late night DJ sets and more.,One of our fave venues, ,, has just earned their booze-handling license fair and square! To congratulate themselves they are throwing a free party with a bunch of DJs, and it’s going laaaate., ,A late night dance party with ,, who builds thoughtful electronic rhythms. Hit this up after attending one of the other Saturday night shows, since it starts at 11:30 pm! Plus, $5? No complaints from us., ,Fantastic line-up through and through, but we’ve already showered our praises on , and would like to attend this show to see , tear through their power jams that are psychedelic but still grounded in pop/rock. Plus, they travelled all the fucking way from Mississippi!, ,We like ,, an Iranian rock band that resides in Brooklyn. They pound out intimidating rock/dance fusion music with a punk tinge. Free before 7 pm? SWEET!, ,We are all about ,‘s pretty, intricate guitar-driven folk rock dynamic, and , are always a fun, jangly band to catch live (see if you can spot the really long rat-tail!!). Plus, if you haven’t been to ,, an art space that is in the process of turning into a non-profit, it’s a great place to  check out and support., ,This show will be awesome! , have been floating through the BK airwaves for some time with their gorgeous and dramatic experimental pop tunes. They’ve certainly made it onto Bushwick Daily , Now they pair up with ,, who you may think you don’t know until you hear their pop anthem “Come Home,” which has probably been featured in 38 commercials by now., ,Com Truise is as trippy and nintendo-y as DJs come. And he’s performing for free. AND there’s an open bar. Please, RSVP., ,The show features bands so special they could constitute Bushwick Music Royalty – , , ,, and ,. They all comfortably wear a rock’n'roll nametag, but with Beach Arabs’ (,) tropical guitar solos, Air Waves’ gentle and earnest songwriting, and headliner The Beets’ nostalgic garage feel, you’ve got a lot of rock variety to get familiar with. Plus, the show takes place in Living Bread Deli, one of the coolest DIY venues around. So cool that ,. Living Bread Deli is a fully functional deli during daytime hours, and is also known for hosting some of Bushwick’s best indie bands! See ya there , ,‘s got a really cool thing going on for their festival this year and are doing 6 different shows – one indie, one folk/world, one punk, one electronic, 1one pop/indie, and one that mixes a little of everything together in Brooklyn and Manhattan. We see LOTS of bands we like across the 3-day fest,  including ,, and maaaany more. , and be sure to check out at least one show!, , ",strict rule breaker. photographer. music obsessee. brooklynite.,"Air Waves,aputumpu festival,beach arabs,chappo,chrome spraks,Com Truise,computer magic,crome canyon,darlings,EULA,Fort Useless,friend roulette,Glasslands,I'm Turning Into...,Life Size Maps,Living Bread Deli,monogold,Quiet Loudly,raja,silent barn,the beets,Vensaire,wild yaks,yellow dogs,young buffalo","
									Get it Guuurl: 9 Music Shows This Weekend: Free Parties, DIY Concerts & More!							",Maria Gotay,"					
					, | 3.28.13 | , 
				"
In the Hood,"I desperately want to say yes to this question, but I really don’t think it’s true for a lot of women. I admire women who are capable of sleeping with someone for the hell of it, but I don’t think it happens as often as the ladies let on. It’s just not cool to say you want to have a relationship with the person you’ve had sex with. If you go there, people will think you’re weak and needy. Ugh!,Well, what if we blame it on biology? I’m sure you’ve heard this before, but let me recap: If the cavewoman had sex and she got pregnant, she’d be stuck with the baby. So she’d only want to f@# a guy she’d want to coerce into helping bring up her brat. Dudes need to fuck a lot of women so they can dominate the tribe. They can’t be that picky or get attached. They need that quantity of pregnant women and offspring to dominate the other dudes. And I’ve got science to back me up. ,Scientific evidence or not, I just don’t think evolution has gotten us past that scenario. I do think there are some women who have evolved past it and we can make them our role models. But for the rest of the ladies, no matter what we in our minds want and act on, we may still feel conflicted in our emotional hot spots after getting it on. Sorry, it sucks. All I’m sayin’ is, sleep with whomever you like, and if you wind up feeling more attached than you expected to, that’s fine. Bear in mind, it may not be something special about the guy – it could just be some leftover cavewoman imprinting. I think we ladies often feel angry because we assume it’s some sort of old person moral judgment that we’re rebelling against. I don’t think you’re being judged; it’s your biology that you’re angry at.,The point I’m making is, ladies, if you get hung up on someone just cause you f*#ked them, don’t make it personal. It’s hormones – they will subside if you don’t keep doing it. And guys, you don’t need to feel so responsible. It’s not you, it’s anybody. Being direct about where everyone is at with the f*#king is key however.,I can see what happened, and I think you can too. She wanted more and likely pretended to you and herself that she wasn’t as interested in having a real boyfriend as she thought. I’m guessing these feelings built up in her – a year and a half is a long time – and when the water boiled, the whistle blew. It’s really no one’s fault; just people not really being honest with themselves and, therefore, with each other. I think you did the right thing, you took her at her word and acted accordingly. You were conscious of how she would feel if you flirted with other women in front of her. And when the accident happened, she jumped to conclusions.,I wish she was able to acknowledge within herself and out loud to you more clearly what she really needed. I also wish there was less of an imbalance between the quantities of available men versus women in this town. And world peace. I wish we could have world peace. And free drinks all Sunday night at every bar in Bushwick. And that I wouldn’t have to spend money to straighten my hair…But, as I was saying, I am left wondering if, after having gotten to know this person over time, you may be relieved in a sense to be unburdened of her. Or are you left completely unscarred by all this, even if you are in the right? I doubt it. I bet you feel bad about what happened, just like I do. And also, she did fulfill some of your needs so I’m sure you will miss her on some level. Are you being honest with yourself about that – you may be hurting a bit too? Who doesn’t want to have someone in their life, besides relatives, who thinks they’re incredible no matter what?,The truth is that guys generally have the upper hand emotionally when it comes to casual sex, so if you don’t want emotional responsibility, the easiest thing to do is to not sleep with one woman regularly. Keep it moving, once a month max, and no long dinners and no cute-next-day-afters, either.","Dr. Lisa, S.P., is a self-proclaimed psychotherapist, artist, performer and comedian. She's had about ten years of experience as Dr. Lisa, with hundreds of patients, onstage and off. She's been featured in The New York Times, The London Times, and The Huffington Post. You can find more information about Dr. Lisa here: http://www.lisalevyindustries.com/","Advice column,Dr. Lisa Levy S.P.,relationships,sex","
									Dr Lisa: F#@king with Impunity: Can Women have Casual Sex without Getting Emotionally Involved?							",Dr. Lisa Levy,"					
					, | 3.27.13 | , 
				"
