link,title
,
,
,
,
,
,
http://maxwellfoxman.wordpress.com/2013/02/02/the-techne-of-memory-conversations-on-how-memory-is-brought-forth/#more-110,Continue reading 
,
,
,
,
,
,
,
"http://maxwellfoxman.wordpress.com/2012/04/05/finding-your-place-how-mobile-games-and-social-media-can-redefine-climate-change-and-community/,http://chass.online.ncsu.edu/online/Viewer/?peid=3eed6292962d4ec98acdf4246578eab81d&playfrom=2766000","post,here"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
http://maxwellfoxman.wordpress.com/2012/04/15/notes-comics-journalism-memory/#more-87,Continue reading 
,
http://maxwellfoxman.wordpress.com/2012/04/13/spiegelman-the-cartoon-slides/#more-84,Continue reading 
,
,
,
,
