content,link,title
"Eclectic musician, performance artist and - yes, you got that right - a contributor to Bushwick Daily, , has just released a single , largely inspired by the Bushwick soundscape. You can hear sirens, a police radio, and factories in the track that was recorded with a boom mic from her window at Knickerbocker Ave. “I recorded this with a lot of Bushwick in my soul,” Ana said. The lyrics are taken from Pablo Neruda’s quotes.,Ana Lola Roman, originally from a small town in Oklahoma, has Spanish roots, and has also lived in Berlin. She is currently working on her debut album ,, which will be released in June 2013., ",http://bushwickdaily.com/2013/03/ana-lola-roman-releases-a-bushwick-inspired-song/,Ana Lola Roman Releases a Bushwick Inspired Song
"Eclectic musician, performance artist and - yes, you got that right - a contributor to Bushwick Daily, , has just released a single , largely inspired by the Bushwick soundscape. You can hear sirens, a police radio, and factories in the track that was recorded with a boom mic from her window at Knickerbocker Ave. “I recorded this with a lot of Bushwick in my soul,” Ana said. The lyrics are taken from Pablo Neruda’s quotes.,Ana Lola Roman, originally from a small town in Oklahoma, has Spanish roots, and has also lived in Berlin. She is currently working on her debut album ,, which will be released in June 2013., ",http://bushwickdaily.com/2013/03/ana-lola-roman-releases-a-bushwick-inspired-song/,Ana Lola Roman Releases a Bushwick Inspired Song
"s ,, there was Williamsburg/Bushwick-based web series ,from creator ,.  The series hilariously captures the exasperation of being a single and lonely hipster in New York, as well as the struggles of financially surviving as a freelancer – all within five-minute webisodes. The show has been compared to the likes of ,, ,, ,, ,, and of course, the inevitable referral to ,. Unlike ,, however, , is from a low-budget show from a man’s point of view, more like two dudes gathering laundry and complaining about how dirty the subway is.,Season one, which first aired in January last year, begins with the end of Rob’s relationship, where he is shoved into the depths of the big New York singles sea. This quote, from the protagonist, sums up the sappy view this sensitive guy has on true love:,“I hate parties. I don’t want to do that. I want to go home, stay at home,” Rob sulks to a friend in episode one. “The other day, together, we baked two pumpkin pies and ate both of them in two days – that’s love.”,We sat down with Hugel himself for an exclusive Q+A., ",http://bushwickdaily.com/2013/03/i-hate-being-single-web-series-the-male-version-of-girls/,I Hate Being Single Web Series: The Male Version of Girls?
"s ,, there was Williamsburg/Bushwick-based web series ,from creator ,.  The series hilariously captures the exasperation of being a single and lonely hipster in New York, as well as the struggles of financially surviving as a freelancer – all within five-minute webisodes. The show has been compared to the likes of ,, ,, ,, ,, and of course, the inevitable referral to ,. Unlike ,, however, , is from a low-budget show from a man’s point of view, more like two dudes gathering laundry and complaining about how dirty the subway is.,Season one, which first aired in January last year, begins with the end of Rob’s relationship, where he is shoved into the depths of the big New York singles sea. This quote, from the protagonist, sums up the sappy view this sensitive guy has on true love:,“I hate parties. I don’t want to do that. I want to go home, stay at home,” Rob sulks to a friend in episode one. “The other day, together, we baked two pumpkin pies and ate both of them in two days – that’s love.”,We sat down with Hugel himself for an exclusive Q+A., ",http://bushwickdaily.com/2013/03/i-hate-being-single-web-series-the-male-version-of-girls/,I Hate Being Single Web Series: The Male Version of Girls?
"Just when we thought spring was upon us, another late snow and chilly temperatures make us all want to curl up with a good book and a hot toddy. Before you don your Snuggie and slippers, check out these five art events this week that are sure to heat you up and give you reason to brave the last dreary days of winter in anticipation for warmer days ahead! ",http://bushwickdaily.com/2013/03/five-shows-that-are-bound-to-get-you-out-of-your-winter-slump/,Five Shows That Are Bound to Get You Out of Your Winter Slump
"Just when we thought spring was upon us, another late snow and chilly temperatures make us all want to curl up with a good book and a hot toddy. Before you don your Snuggie and slippers, check out these five art events this week that are sure to heat you up and give you reason to brave the last dreary days of winter in anticipation for warmer days ahead! ",http://bushwickdaily.com/2013/03/five-shows-that-are-bound-to-get-you-out-of-your-winter-slump/,Five Shows That Are Bound to Get You Out of Your Winter Slump
"We were all part of it! MTV Iggy , the readers of Bushwick Daily to dance in the craze while awesome Brooklyn band, ,, performed their new song “Until the Sun Explodes”,at the (in)famous ,. After behind the scenes and photo teasers, the finished video has finally come into its existence!,Bushwick Daily , the lovely members of the bands about their favorite hangout spots and about Bushwick, where they all started before they became famous and moved to Greenpoint (ha-ha).,As part of their ,series, MTV Iggy live tapes performances of up-and-coming indie bands from all over the world. This noble activity reminds us of the good ol’ cool 1990s MTV before it became the birthplace of , reality show characters like Sn00ki. Keep up the good work, MTV Iggy, and check out more ,!",http://bushwickdaily.com/2013/03/the-pains-of-being-pure-at-heart-song-taped-live-at-bushwick-church-is-finally-out/,‘The Pains of Being Pure at Heart’ Song Taped Live at Bushwick Church Is Finally OUT!
"We were all part of it! MTV Iggy , the readers of Bushwick Daily to dance in the craze while awesome Brooklyn band, ,, performed their new song “Until the Sun Explodes”,at the (in)famous ,. After behind the scenes and photo teasers, the finished video has finally come into its existence!,Bushwick Daily , the lovely members of the bands about their favorite hangout spots and about Bushwick, where they all started before they became famous and moved to Greenpoint (ha-ha).,As part of their ,series, MTV Iggy live tapes performances of up-and-coming indie bands from all over the world. This noble activity reminds us of the good ol’ cool 1990s MTV before it became the birthplace of , reality show characters like Sn00ki. Keep up the good work, MTV Iggy, and check out more ,!",http://bushwickdaily.com/2013/03/the-pains-of-being-pure-at-heart-song-taped-live-at-bushwick-church-is-finally-out/,‘The Pains of Being Pure at Heart’ Song Taped Live at Bushwick Church Is Finally OUT!
"It has taken us all a few days to convalesce after the excitement surrounding the plenitude of events, openings and parties that surrounded ,. The whole city seemed to come alive as artists, gallerists, dealers and arts enthusiasts actively engaged and buzzed around all corners of the five boroughs, and our own home-grown , was no different. Despite the fact that many of the galleries were also participating in other events including ,, ,, , and ,, thirty galleries rallied to stay open past their normal business hours to welcome the swarms of visitors who participated in the gallery tour.,Because there is always too much good stuff to see, Katarina Hybenova and Allison Galgiani decided to divide and conquer, choosing some of their favorite shows of the night to share., ",http://bushwickdaily.com/2013/03/top-picks-from-bushwick-gallery-armory-late-night/,Top Picks from Bushwick Gallery Armory Late Night
"It has taken us all a few days to convalesce after the excitement surrounding the plenitude of events, openings and parties that surrounded ,. The whole city seemed to come alive as artists, gallerists, dealers and arts enthusiasts actively engaged and buzzed around all corners of the five boroughs, and our own home-grown , was no different. Despite the fact that many of the galleries were also participating in other events including ,, ,, , and ,, thirty galleries rallied to stay open past their normal business hours to welcome the swarms of visitors who participated in the gallery tour.,Because there is always too much good stuff to see, Katarina Hybenova and Allison Galgiani decided to divide and conquer, choosing some of their favorite shows of the night to share., ",http://bushwickdaily.com/2013/03/top-picks-from-bushwick-gallery-armory-late-night/,Top Picks from Bushwick Gallery Armory Late Night
